name,team,year
Antoine Griezmann,Atlético Madrid,2016
Neymar,Paris Saint-Germain,2017
Mohamed Salah,Liverpool,2018
Cristiano Ronaldo,Juventus,2019
Lionel Messi,Barcelona,2020
Mohamed Salah,Liverpool,2021
