name,team,year
Cristiano Ronaldo,Real Madrid,2016
Cristiano Ronaldo,Real Madrid,2017
Luka Modrić,Real Madrid,2018
Lionel Messi,Barcelona,2019
Robert Lewandowski,Bayern Munich,2020
Robert Lewandowski,Bayern Munich,2021
